Dataset_ID	Accession	Curated_by	Overexpression(OE)_Knockout(KO)_Knockdown(KD)_Other-gene-modulation(OM)_Drug(D)_None(N)_Gene-and-Drug(GD)	Sample_annotation(G=sample_id,T=Term)	Control_samples	Perturbed_samples	Comparison_Requirements	Input_Term	Testing_Condition	Perturbagen_terms	Comments
200241427	GSE241427	Bess	D	T	U937, DMSO, 6h	U937, IBRD9, 6h				I-BRD9;BRD9 bromodomain inhibitor	5 different cell lines.
200161160	GSE161160	Bess	KO	G	GSM4890878;GSM4890879;GSM4890880	GSM4890869;GSM4890870;GSM4890871				ITK;IL-2-inducible T cell kinase	
200161160	GSE161160	Bess	KO	T	pre_trans_WT	ITK_pre				ITK;IL-2-inducible T cell kinase	ITK KO pre and post transfer and Wildtype pre and post transfer.
200144275	GSE144275	Bess	KO	T	WT_Bone_Marrow_ProB	Rag1ko/ko_Bone_Marrow_ProB				Rag1	
200144275	GSE144275	Bess	KO	T	WT_Bone_Marrow_ProB	IghTer5H/Ter5H _Bone_Marrow_ProB				Igh	
200144275	GSE144275	Bess	KO	T	WT_Bone_Marrow_ProB	IghTer5 /wt;Rag1ko/ko_Bone_Marrow_ProB				Igh&Rag1	Single peturbations & a dual perturbation of Rag1 and Igh.
200201524	GSE201524	Bess	D	G	GSM6066067	GSM6066066				CM;human gingival fibroblast-conditioned medium;HGF-CM;hGF-CM	
200201524	GSE201524	Bess	D	G	GSM6066067	GSM6066068				CM;human gingival fibroblast-conditioned medium;HGF-CM;hGF-CM	Tested with normal and heated CM against control.
200157057	GSE157057	Bess	N								
200252568	GSE252568	Bess	D	T	H146-Ctrl	H146-Cis				Cisplatin;cisplatin	
200252568	GSE252568	Bess	D	T	H146-Ctrl	H146-Sim				simurosertib;Simurosertib	
200252568	GSE252568	Bess	D	T	H146-Ctrl	H146-Comb				Cisplatin;cisplatin&simurosertib;Simurosertib	
200252568	GSE252568	Bess	D	T	Lx33-Ctrl	Lx33-Cis				Cisplatin;cisplatin	
200252568	GSE252568	Bess	D	T	Lx33-Ctrl	Lx33-Sim				simurosertib;Simurosertib	
200252568	GSE252568	Bess	D	T	Lx33-Ctrl	Lx33-Comb				Cisplatin;cisplatin&simurosertib;Simurosertib	
200252568	GSE252568	Bess	D	T	Lx761c-Ctrl	Lx761c-Sim				simurosertib;Simurosertib	
200252568	GSE252568	Bess	D	T	Lx761c-Ctrl	Lx761c-Irino				irinotecan;Irinotecan	
200252568	GSE252568	Bess	D	T	Lx761c-Ctrl	Lx761c-Comb				Cisplatin;cisplatin&simurosertib;Simurosertib	Drugs tested on 3 cell lines: H146, Lx33, and Lx761c
200201176	GSE201176	Bess	KD	T	CTRL	NPTX1				NPTX1	
200152430	GSE152430	Bess	N								
200181873	GSE181873	Bess	KO	T	Tie2-Ezh2-WT	Tie2-Ezh2-KO				Ezh2	
200181873	GSE181873	Bess	KO	T	Vav-Ezh2-WT	Vav-Ezh2-KO				Ezh2	Vav and Tie2 KO occur at 2 stages of development (Vav is earlier).
200225604	GSE225604	Bess	KO	T	WT	21D.del				U1	
200225604	GSE225604	Bess	KO	T	WT	82Eb.del				U1	
200225604	GSE225604	Bess	KO	T	WT	95Ca.del				U1	
200225604	GSE225604	Bess	KO	T	WT	95Cb.del				U1	
200225604	GSE225604	Bess	KO	T	WT	95Cc.del				U1	5 genotypes used.
200168453	GSE168453	Bess	N								
200225839	GSE225839	Bess	N								
200107697	GSE107697	Bess	N								
200126313	GSE126313	Bess	OM	T	wild type that treated iron	cir1 mutant that treated iron				cir1;Cir1	
200126313	GSE126313	Bess	D	T	cir1 mutant (	cir1 mutant that treated iron				iron;FeCl3;Iron	
200126313	GSE126313	Bess	OM	T	wild type that treated iron	hapX mutant that treated iron				hapX;HapX	
200126313	GSE126313	Bess	D	T	hapX mutant (	hapX mutant that treated iron				iron;FeCl3;Iron	
200126313	GSE126313	Bess	OM	G	GSM3596140;GSM3596141;GSM3596142	GSM3596128;GSM3596129;GSM3596130				cir1;Cir1	
200126313	GSE126313	Bess	OM	G	GSM3596140;GSM3596141;GSM3596142	GSM3596134;GSM3596135;GSM3596136				hapX;HapX	
200126313	GSE126313	Bess	D	G	GSM3596140;GSM3596141;GSM3596142	GSM3596137;GSM3596138;GSM35961379				iron;FeCl3;Iron	
200253742	GSE253742	Bess	D	T	prior	post				osimertinib;Osimertinib	
200151357	GSE151357	Bess	N								
200169610	GSE169610	Bess	OM	T		UM				SF3B1	No controls.
200221467	GSE221467	Bess	KO	T	WT_N	KO_N				TET1&TET2	
200221467	GSE221467	Bess	KO	T	WT_24h	KO_24h				TET1&TET2	
200221467	GSE221467	Bess	KO	T	WT_72h	KO_72h				TET1&TET2	Dual Peturbation, 3 different time points.
200160382	GSE160382	Bess	KD	T		large				P2X4;P2rx4	
200160382	GSE160382	Bess	KD	T		lower small				P2X4;P2rx4	
200160382	GSE160382	Bess	KD	T		upper small				P2X4;P2rx4	No controls.
200160382	GSE160382	Bess	D	T	stimulated without ATPgS	stimulated with ATPgS				ATPgS	
200175599	GSE175599	Bess	KO	T	WT	KO				Ezh2	
200169584	GSE169584	Bess	KO	T	WT, DMSO	IRE1-alpha KO, DMSO				IRE1-alpha;IRE1α;IRE1	
200169584	GSE169584	Bess	KO	T	WT, Thapsigargin	IRE1-alpha KO, Thapsigargin				IRE1-alpha;IRE1α;IRE1	2 different treatments administered.
200169584	GSE169584	Bess	D	T	WT, DMSO	WT, Thapsigargin				Thapsigargin	
200169584	GSE169584	Bess	D	T	IRE1-alpha KO, DMSO	IRE1-alpha KO, Thapsigargin				Thapsigargin	
200193065	GSE193065	Bess	N								
200095782	GSE95782	Bess	D	G	GSM2525861;GSM2525862;GSM2525863	GSM2525864;GSM2525865;GSM2525866				Poly I:C	
200095782	GSE95782	Bess	D	G	GSM2525867;GSM2525868;GSM2525869	GSM2525870;GSM2525871;GSM2525872				Poly I:C	
200095782	GSE95782	Bess	D	G	GSM2525873;GSM2525874;GSM2525875	GSM2525876;GSM2525877;GSM2525878				Poly I:C	
200095782	GSE95782	Bess	D	G	GSM2525879;GSM2525880;GSM2525881	GSM2525882;GSM2525883;GSM2525884				Poly I:C	Results recorded at 1 & 2 weeks for 2 genotypes.
200178623	GSE178623	Bess	N								
200064813	GSE64813	Bess	N								
200159450	GSE159450	Bess	N								
200062913	GSE62913	Bess	N								
200147818	GSE147818	Bess	KO	G	GSM4446507;GSM4446510;GSM4446517;GSM4446518	GSM4446512;GSM4446514;GSM4446519;GSM4446520				DNMT3A	Female
200147818	GSE147818	Bess	KO	G	GSM4446509;GSM4446513;GSM4446515	GSM4446508;GSM4446511;GSM4446516				DNMT3A	Male
200107671	GSE107671	Bess	KO	G	GSM2875545;GSM2875547	GSM2875546;GSM2875548		input		Setdb1;SETDB1	
200107671	GSE107671	Bess	KO	T	RNAseq_WT	RNAseq_cKO				Setdb1;SETDB1	
200120714	GSE120714	Bess	D	T		KI				anti PD-1;anti-PD-1	No controls.
200172492	GSE172492	Bess	D	T	HSC from normal liver	HSC from injured liver (1xCCl4)				CCl4	
200172492	GSE172492	Bess	D	T	HSC from normal liver	HSC from injured liver (4xCCl4)				CCl4	
200172492	GSE172492	Bess	D	T	HSC from normal liver	HSC from injured liver (12xCCl4)				CCl4	Injections given 1, 4, or 12 times.
200153747	GSE153747	Bess	D	T	GrgA_NI	GrgA_IND12-16				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	GrgA_NI	GrgA_IND17-21				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	dl1-64GrgA_NI	dl1-64GrgA_IND12-16				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	dl138-165GrgA_NI	dl138-165GrgA_IND12-16				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	GrgA_NI	GrgA_IND1h				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	GrgA_NI	GrgA_IND2h				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	GrgA_NI	GrgA_IND30				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	Euo_NI	Euo_IND12-16				anhydrotetracycline;IND	
200153747	GSE153747	Bess	D	T	HrcA_NI	HrcA_IND12-16				anhydrotetracycline;IND	2 experimental variables: dosage and genotype.
200230712	GSE230712	Bess	D	T	DMSO	GSK-126				GSK-126	
200109805	GSE109805	Bess	N								
200061439	GSE61439	Bess	N								
200155130	GSE155130	Bess	N								
200221023	GSE221023	Bess	KO	T	SKO_RFP	SKO_CRE_RFP				PTEN	
200221023	GSE221023	Bess	KO	T	SKO_RFP	DKO_CRE_RFP				PTEN&Rb1	Dual Peturbation.
200221023	GSE221023	Bess	D	T	DKO Vehicle	DKO UK5099				UK5099	
200221023	GSE221023	Bess	D	G	GSM6840108;GSM6840109;GSM6840110	GSM6840111;GSM6840112;GSM6840113				UK5099	
200221023	GSE221023	Bess	KO	G	GSM6840108;GSM6840109;GSM6840110	GSM6840114;GSM6840115;GSM6840116				Mpc1	
200099784	GSE99784	Bess	OM	T	WT-AST	S89G-AST				DMP1;dentin matrix protein1	
200099784	GSE99784	Bess	OM	T	WT-NSC	S89G-NSC				DMP1;dentin matrix protein1	2 types of cells used.
200132708	GSE132708	Bess	N								
200164963	GSE164963	Bess	N								
200096551	GSE96551	Bess	KO	T	WT_6h	MT_6h				pykA	
200096551	GSE96551	Bess	KO	T	WT_12h	MT_12h				pykA	
200096551	GSE96551	Bess	KO	T	WT_24h	MT_24h				pykA	
200096551	GSE96551	Bess	KO	T	WT_48h	MT_48h				pykA	4 different time points.
200201788	GSE201788	Bess	KO	T	WT	KO				AHR;Ahr;aryl hydrocarbon receptor	
200154711	GSE154711	Bess	KO	T		POX09752				POX09752	
200154711	GSE154711	Bess	KO	T		Ku70				POX09752	No controls, comparing 2 strains.
200171181	GSE171181	Bess	KO	T	shCtrl	shSF3B1.1				SF3B1	
200171181	GSE171181	Bess	D	T	DMSO	1.5nM E7107				E7107	
200171181	GSE171181	Bess	D	T	DMSO	3nM E7107				E7107	2 different dosages.
200086377	GSE86377	Bess	D	T	JGC	JGI				Fusarium oxysporum f. sp. ciceri;Foc	
200086377	GSE86377	Bess	D	T	DVC	DVI				Fusarium oxysporum f. sp. ciceri;Foc	2 different cultivars used.
200115896	GSE115896	Bess	N								
200078381	GSE78381	Bess	N								
200077742	GSE77742	Bess	OM	T	Control	Experiment				TCF4	
200158018	GSE158018	Bess	KO	G	GSM4785337;GSM4785338;GSM4785339	GSM4785340;GSM4785341;GSM4785342				Bcor;BCL6 co-repressor;BCOR	
200158018	GSE158018	Bess	KO	G	GSM4785337;GSM4785338;GSM4785339	GSM4785342;GSM4785343;GSM4785344				DNMT3a;Dnmt3a	
200158018	GSE158018	Bess	KO	G	GSM4785337;GSM4785338;GSM4785339	GSM4785345;GSM4785346				Bcor;BCL6 co-repressor;BCOR&DNMT3a;Dnmt3a	
200158018	GSE158018	Bess	KO	G	GSM4785347;GSM4785348;GSM4785349	GSM4785350;GSM4785351				Bcor;BCL6 co-repressor;BCOR	
200158018	GSE158018	Bess	KO	G	GSM4785347;GSM4785348;GSM4785349	GSM4785352;GSM4785353;GSM4785354				DNMT3a;Dnmt3a	
200158018	GSE158018	Bess	KO	G	GSM4785347;GSM4785348;GSM4785349	GSM4785355;GSM4785356				Bcor;BCL6 co-repressor;BCOR&DNMT3a;Dnmt3a	2 different cell types, 2 different genes perturbed (both single and dual perturbation).
200126630	GSE126630	Bess	N								
200183190	GSE183190	Bess	N								
200178707	GSE178707	Bess	N								
200177681	GSE177681	Bess	N								
200087670	GSE87670	Bess	N								
200149270	GSE149270	Bess	D	T	no_treatment	SynAnt49				SynAnt 49;BDTL049	
200037236	GSE37236	Bess	KO	T	wt	ko				SAMHD1	
200114090	GSE114090	Bess	N								
200160415	GSE160415	Bess	KO	T	WT	Mark3-KO				Mark3;MARK3	
200124954	GSE124954	Bess	KO	T	WilE-dDG	HetE-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilE-vDG	HetE-vDG				CREB	
200124954	GSE124954	Bess	KO	T	WilE-Vis	HetE-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-dDG	HetEx-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-vDG	HetEx-vDG				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-Vis	HetEx-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilC-dDG	HetC-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilC-Vis	HetC-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilC-vDG	HetC-vDG				CREB	
200124954	GSE124954	Bess	KO	T	WilE-dDG	HomE-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilE-vDG	HomE-vDG				CREB	
200124954	GSE124954	Bess	KO	T	WilE-Vis	HomE-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-dDG	HomEx-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-vDG	HomEx-vDG				CREB	
200124954	GSE124954	Bess	KO	T	WilEx-Vis	HomEx-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilC-dDG	HomC-dDG				CREB	
200124954	GSE124954	Bess	KO	T	WilC-Vis	HomC-Vis				CREB	
200124954	GSE124954	Bess	KO	T	WilC-vDG	HomC-vDG				CREB	3 experimental variables: CREB KO/no KO, Dorsal DG/Ventral DG/Visual Cortex, Enriched/Excercise/Control environments.
200131449	GSE131449	Bess	OM	T	WT	heterozygous				STAG2	
200131449	GSE131449	Bess	OM	T	WT	null				STAG2	Heterozygous/Homozygous mutation.
200037933	GSE37933	Bess	KO	T	Control	PTBP1 siRNA				PTBP1;Ptbp1	
200037933	GSE37933	Bess	KO	T	PTBP1 siRNA	PTBP1+PTBP2				PTBP2;Ptbp2	
200037933	GSE37933	Bess	KO	T	Control	PTBP1+PTBP2				PTBP1;Ptbp1&PTBP2;Ptbp2	Dual Peturbation.
200167566	GSE167566	Bess	KO	T	exp1_control_SOR	exp1_DN_SOR				Nr4a;Nr4A	
200090988	GSE90988	Bess	D	T	UN	Bic-2h				Bicuculline	
200090988	GSE90988	Bess	D	T	UN	Bic-6h				Bicuculline	
200090988	GSE90988	Bess	D	T	UN	TTX-2h				TTX	
200090988	GSE90988	Bess	D	T	UN	TTX-6h				TTX	
200090988	GSE90988	Bess	D	T	GRO-Untreated	GRO-TTX_30				TTX	
200090988	GSE90988	Bess	D	T	GRO-Untreated	GRO-TTX_2				TTX	
200090988	GSE90988	Bess	D	T	GRO-Untreated	GRO-TTX_4				TTX	2 different drugs, 2 types of sequencing, multiple time points.
200131242	GSE131242	Bess	N								
200174173	GSE174173	Bess	KO	T		liver-specific knockout of Pten				Pten;PTEN	No control.
200174173	GSE174173	Bess	KO	T	liver-specific knockout of Pten	liver-specific double knockout of Pten and Scap				Scap;SCAP	Because there is no control (with no KO), this is not a dual pertubation.
200057391	GSE57391	Bess	KO		Control-Epithelium	Ezh2KO-Epithelium				Ezh2	
200057391	GSE57391	Bess	KO		Control-Stroma	Ezh2KO-Stroma				Ezh2	2 types of cells.
200222861	GSE222861	Bess	KO	G	GSM6934337	GSM6934338;GSM6934339;GSM6934340;GSM6934341				CD19	
200141835	GSE141835	Bess	N								
200193373	GSE193373	Bess	D	G	GSM5799120;GSM5799121;GSM5799122	GSM5799123;GSM5799124;GSM5799125				Bepridil;bepridil	
200193373	GSE193373	Bess	D	G	GSM5799120;GSM5799121;GSM5799122	GSM5799126;GSM5799127;GSM5799128				Bepridil;bepridil	
200193373	GSE193373	Bess	D	G	GSM5799120;GSM5799121;GSM5799122	GSM5799129;GSM5799130;GSM5799131				Bepridil;bepridil	Four different dosages: 0 (control), 250, 750, 1295 ng/mL.
200139613	GSE139613	Bess	N								
200194043	GSE194043	Bess	KO	T	Exd2+/+	Exd2∆				Exd2;EXD2	
200172493	GSE172493	Bess	D	T	untreated	mCMP-001 + anti-Qbeta				CMP-001	
200172493	GSE172493	Bess	D	G	GSM5257945	GSM5257947				CMP-001	
200172493	GSE172493	Bess	D	T	untreated	G10				G10	
200067214	GSE67214	Bess	N								
200165497	GSE165497	Bess	KD	T	siN	siHoxa5				Hoxa5;HOXA5	
200194206	GSE194206	Bess	N								
200169262	GSE169262	Bess	KO	T	E14.5 SE WT	E14.5 SE KO				VSX2SE	
200169262	GSE169262	Bess	KO	T	Adult WT	Adult SE KO				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191717;GSM5191718;GSM5191719	GSM5191729;GSM5191730;GSM5191731				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191720;GSM5191721	GSM5191732;GSM5191733				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191722	GSM5191734				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191717;GSM5191718;GSM5191719	GSM5191723;GSM5191724;GSM5191725				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191720;GSM5191721	GSM5191726;GSM5191727				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5191722	GSM5191728				VSX2SE	
200169262	GSE169262	Bess	KO	T	Vsx2SE WT	Vsx2SE HET				VSX2SE	
200169262	GSE169262	Bess	KO	T	Vsx2SE WT	Vsx2SE KO				VSX2SE	
200169262	GSE169262	Bess	KO	G	GSM5614917	GSM5614920;GSM5614921				VSX2SE	Multiple genotypes, multiple types of sequencing, heterozygous/homozygous KO
200118567	GSE118567	Bess	D	T	Nontreated	TOFA-treated				TOFA;etradecyloxy-2-furoic acid	
200148687	GSE148687	Bess	N								
200153921	GSE153921	Bess	D	T	Non-induced	Induced D5plus				4OHT	
200153921	GSE153921	Bess	KD	T	Induced D5plus	Induced + shXPO7				XPO7	
200106848	GSE106848	Bess	N								
200233254	GSE233254	Bess	OE	T	C241_Ctrl	C241_NKX				Nkx6-2	
200233254	GSE233254	Bess	OE	T	KPCt_control	KPCt_NKX				Nkx6-2	
200233254	GSE233254	Bess	OE	T	Mt4_control	Mt4_NKX				Nkx6-2	3 different cell lines used.
200173350	GSE173350	Bess	N								
200114252	GSE114252	Bess	N								
200217871	GSE217871	Bess	D	T	1mg_18hwoAD	1mg_18h_				Actinomycin D;ActD;AD	
200109001	GSE109001	Bess	N								
200096549	GSE96549	Bess	KO	T	wild type	barc RNAi				Barc;Barricade;barc	
200096549	GSE96549	Bess	KO	T	dsmCherry	dsbarc				Barc;Barricade;barc	Tested in 2 types of cells.
200140378	GSE140378	Bess	KO	T	Control	KO				Abca12	
200201992	GSE201992	Bess	KO	T	Fl_	Fl g1Hira				Hira;HIRA	
200201992	GSE201992	Bess	KO	T	Cl19_	Cl19 g1Hira_				Hira;HIRA	2 different genotypes.
200119988	GSE119988	Bess	N								
200079638	GSE79638	Bess	KO	T	WT E10.5	Arid3a-/- E10.5				ARID3A;Arid3a	
200079638	GSE79638	Bess	KO	T	WT E11.5	Arid3a-/- E11.5				ARID3A;Arid3a	
200128913	GSE128913	Bess	OE	T	GFP	PRMT1				PRMT1	
200149539	GSE149539	Bess	D	G	GSM4525515;GSM4525516	GSM4525511;GSM4525512				GSKJ4;GSK-J4	
200149539	GSE149539	Bess	D	G	GSM4525515;GSM4525516	GSM4525513;GSM4525514				GSKJ4;GSK-J4	2 different time points
200149539	GSE149539	Bess	D	T	CHLA15-Ctrl	CHLA15-Palbociclib				Palbociclib;palbociclib	
200149539	GSE149539	Bess	D	T	CHLA20-Ctrl	CHLA20- Palbociclib				Palbociclib;palbociclib	
200149539	GSE149539	Bess	D	T	NB1643-Ctrl	NB1643-Palbociclib				Palbociclib;palbociclib	
200149539	GSE149539	Bess	D	T	NB1691-Ctrl	NB1691-Palbociclib				Palbociclib;palbociclib	Multiple genotypes.
200149539	GSE149539	Bess	D	T	GSKJ4_0h	GSKJ4_24h				GSK-J4;GSKJ4	
200149539	GSE149539	Bess	D	T	GSKJ4_0h	GSKJ4_48h				GSK-J4;GSKJ4	2 different time points
200149539	GSE149539	Bess	D	T	siCtrl	siKDM6B_N1				siKDM6B	
200149539	GSE149539	Bess	D	T	siCtrl	siKDM6B_N2				siKDM6B	
200149539	GSE149539	Bess	D	T	siCtrl	siKDM6B_N33				siKDM6B	3 types of siKDM6B treatment: N1, N2, N33.
200207427	GSE207427	Bess	N								
200057170	GSE57170	Bess	KD	T	WT ESC	Smarca4 KD				Smarca4	
200057170	GSE57170	Bess	KD	T	WT ESC	EGFP KD				EGFP	
200201197	GSE201197	Bess	D	T	, unstimulated	, stimulated				IL-2;iLD-IL-2;interleukin-2	
200222159	GSE222159	Bess	KO	T	WT_	KO_				AmotL2;amotl2	
200076860	GSE76860	Bess	D	T	KYSE510_0hr	KYSE510_2hr_50				THZ1	
200076860	GSE76860	Bess	D	T	KYSE510_0hr	KYSE510_4hr_50				THZ1	
200076860	GSE76860	Bess	D	T	KYSE510_0hr	"
KYSE510_6hr_50"				THZ1	
200076860	GSE76860	Bess	D	T	KYSE510_0hr	KYSE510_12hr_50				THZ1	
200076860	GSE76860	Bess	D	T	KYSE510_0hr	KYSE510_6hr_200				THZ1	
200076860	GSE76860	Bess	D	T	TE7_0hr	TE7_2hr_50				THZ1	
200076860	GSE76860	Bess	D	T	TE7_0hr	TE7_4hr_50				THZ1	
200076860	GSE76860	Bess	D	T	TE7_0hr	TE7_6hr_50				THZ1	
200076860	GSE76860	Bess	D	T	TE7_0hr	TE7_12hr_50				THZ1	
200076860	GSE76860	Bess	D	T	TE7_0hr	TE7_6hr_200				THZ1	2 cell lines, 3 time points, 2 dosages. 
200244723	GSE244723	Bess	N								
200178099	GSE178099	Bess	OM	T	WT	mutant				hlh-26;HLH-26	
200263647	GSE263647	Bess	N								
200254435	GSE254435	Bess	N								
200204754	GSE204754	Bess	KO	T	control	resistant				KrasG12V	
200152185	GSE152185	Bess	D	T	HANK1, DMSO	HANK1, Tofa				tofacitinib	
200152185	GSE152185	Bess	D	T	HANK1, DMSO	HANK1, Ruxo				ruxolitinib	
200131492	GSE131492	Bess	N								
200086101	GSE86101	Bess	D	T	unt_2n	cytD_2n				CytochalasinD	
200086101	GSE86101	Bess	D	T	unt_4n	cytD_4n				CytochalasinD	
200086101	GSE86101	Bess	D	T	unt_2n	zm_2n				ZM447439;Aurora inhibitor	
200086101	GSE86101	Bess	D	T	unt_4n	zm_4n				ZM447439;Aurora inhibitor	
200093989	GSE93989	Bess	KD	T	PANC-1_control_siControl	PANC-1_control_siSREBP2				SREBP2	
200093989	GSE93989	Bess	KD	T	PANC-1_low_pH_siControl	PANC-1_low_pH_siSREBP2				SREBP2	
200093989	GSE93989	Bess	KD	T	AsPC-1_control_siControl	AsPC-1_control_siSREBP2				SREBP2	
200093989	GSE93989	Bess	KD	T	AsPC-1_low_pH_siControl	AsPC-1_low_pH_siSREBP2				SREBP2	Normal vs low PH, 2 different types of cells.
200059822	GSE59822	Bess	N								
200157538	GSE157538	Bess	N								
200085690	GSE85690	Bess	N								
200234701	GSE234701	Bess	D	T	Normoxia CTRL	Normoxia IL1b				IL-1b;IL1b	
200234701	GSE234701	Bess	D	T	Sustained hypoxia CTRL	Sustained hypoxia IL1b				IL-1b;IL1b	
200234701	GSE234701	Bess	D	T	Intermittent hypoxia CTRL	Intermittent hypoxia IL1b				IL-1b;IL1b	3 different conditions: normoxia, sustained hypoxia, and intermittent hypoxia.
200217392	GSE217392	Bess	KO	T	Uninfected	MCMV				Hur	
200061549	GSE61549	Bess	KD	T	HeLa_SCR_KD	HeLa_CAT				CAT7	
200061549	GSE61549	Bess	KD	T	MN_SCR_KD	MN_CAT7				CAT7	
200061549	GSE61549	Bess	KD	T	HeLa_SCR_KD	HeLa_Xist_KD				Xist	
200061549	GSE61549	Bess	KD	T	HeLa_SCR_KD	HeLa_Suz12_KD				Suz12	
200061549	GSE61549	Bess	KD	T	HeLa_SCR_KD	HeLa_Bmi1_KD				Bmi1	
200109322	GSE109322	Bess	D	T	unstimulated	IFN-γ-stimulated				IFN-γ	
200099780	GSE99780	Bess	N								
200126171	GSE126171	Bess	OM	T	noDox_WT	noDox_mut				FOXL2	
200126171	GSE126171	Bess	OM	T	_Dox_WT	_Dox_mut				FOXL2	
200126171	GSE126171	Bess	D	T	noDox_WT	Dox_WT				Doxycycline;doxycycline	
200126171	GSE126171	Bess	D	T	noDox_mut	_Dox_mut				Doxycycline;doxycycline	
200126171	GSE126171	Bess	D	T	noDox_V	_Dox_V				Doxycycline;doxycycline	
200122303	GSE122303	Bess	D	T	Kelly_DMSO	Kelly_THZ531				THZ531	
200122303	GSE122303	Bess	D	T	Kelly_E9R_DMSO	Kelly_E9R_THZ531				THZ531	2 types of cells.
200162954	GSE162954	Bess	KO	G	GSM4968875;GSM4968876;GSM4968877	GSM4968874				CSDE1	CSDE1 haploinsufficiency was existing, not created.
200054411	GSE54411	Bess	KO	T	Wild-type	Knockout				Dnmt3l;DNMT3L	
200199115	GSE199115	Bess	KO	T	Eed CTR	Eed matKO				Eed	
200199115	GSE199115	Bess	KO	T	Eed/Xist CTR	Eed/Xist matDKO				Eed&Xist	Dual peturbation.
200056962	GSE56962	Bess	OE	G	GSM1372350;GSM1372353;GSM2747814;GSM2747817;GSM2747820;GSM2747823	GSM1372347;GSM2747808;GSM2747811				MCPH1	
200056962	GSE56962	Bess	OE	G	GSM1372351;GSM1372354;GSM2747815;GSM2747818;GSM2747821;GSM2747824	GSM1372348;GSM2747809;GSM2747812				MCPH1	
200056962	GSE56962	Bess	OE	G	GSM1372352;GSM1372355;GSM2747816;GSM2747819;GSM2747822;GSM2747825	GSM1372349;GSM2747810;GSM2747813				MCPH1	
200056962	GSE56962	Bess	OE	G	GSM3273320;GSM3273324;GSM3273328;GSM3273332;GSM3273336	GSM3273304;GSM3273305;GSM3273312;GSM3273316				MCPH1	
200056962	GSE56962	Bess	OE	G	GSM3273321;GSM3273325;GSM3273329;GSM3273333;GSM3273337	GSM3273306;GSM3273307;GSM3273313;GSM3273317				MCPH1	
200056962	GSE56962	Bess	OE	G	"GSM3273322;GSM3273326;GSM3273330;GSM3273334;GSM3273338	"	GSM3273308;GSM3273309;GSM3273314;GSM3273318				MCPH1	
200056962	GSE56962	Bess	OE	G	GSM3273323;GSM3273327;GSM3273331;GSM3273335;GSM3273339	GSM3273310;GSM3273311;GSM3273315;GSM3273319				MCPH1	7 types of tissue.
200134362	GSE134362	Bess	D	T	Control PND65	BDE-47 PND65				BDE-47	
200134362	GSE134362	Bess	D	T	Control PND120	BDE-47 PND120				BDE-47	Recorded postnatal day 65 & 120.
200249909	GSE249909	Bess	N								
200142731	GSE142731	Bess	N								
200031302	GSE31302	Bess	N								
200128291	GSE128291	Bess	OM	T	Ctrl	Mut				surfactant protein C	
200092241	GSE92241	Bess	N								
200186166	GSE186166	Bess	D	T	PMN-JLRNASEQ	DAMPs				damage-associated molecular patterns;DAMPs	
200186166	GSE186166	Bess	D	T	PMN-JLRNASEQ	Mito				platelet-derived mitochondria;PLTs-derived mitochondria	
200049828	GSE49828	Bess	N								
200216671	GSE216671	Bess	D	T	in vitro, control splenic CD4+ T	in vitro, lycorine treated splenic CD4+ T				lycorine	
200216671	GSE216671	Bess	D	T	in vitro, control CD4+ T	in vitro, lycorine treated CD4+ T				lycorine	
200216671	GSE216671	Bess	D	T	in vitro, control CD8+ T	in vitro, lycorine treated CD8+ T				lycorine	
200211836	GSE211836	Bess	N								
200130984	GSE130984	Bess	N								
200207268	GSE207268	Bess	D	T	INTS11-AID cells, Control, starvation	INTS11-AID cells, +IAA, starvation				IAA;auxin	
200207268	GSE207268	Bess	D	T	INTS11-AID cells, Control, steady	INTS11-AID cells, +IAA, steady				IAA;auxin	
200207268	GSE207268	Bess	D	T		INTS11-AID cells, +IAA, rescue				IAA;auxin	No control.
